Size,Gflops,Diff
40,2.169492e+00,1.428750e+09
80,2.060362e+00,1.422852e+09
120,1.821824e+00,1.421214e+09
160,1.845461e+00,1.418920e+09
200,1.865672e+00,1.417609e+09
240,1.854326e+00,1.416299e+09
280,1.863735e+00,1.412694e+09
320,1.816962e+00,1.411056e+09
360,1.757454e+00,1.409679e+09
400,1.756697e+00,1.408107e+09
440,1.806640e+00,1.406468e+09
480,1.670057e+00,1.404830e+09
520,1.624962e+00,1.403191e+09
560,1.469953e+00,1.401553e+09
600,1.285091e+00,1.399915e+09
640,1.142934e+00,1.398276e+09
680,1.389488e+00,1.396638e+09
720,1.406000e+00,1.395261e+09
760,1.369372e+00,1.393689e+09
800,1.355320e+00,1.392050e+09
